language,case,default,morphological,noun_type,noun_class,number,conditioning,form,form_add,form_replace,form_delete,prosodic_form,prosody_clean,case_broad,form_add_s,form_add_prefix,form_add_suffix,form_add_all,vowel_pres,cons_pres,vowel_end,obstr_vl_pres,obstr_vl_count,obstr_vl_prop,last_vowel,last_vowel_qual,v_height,v_long,cons_end,cons_onset
Fore,accusative,FALSE,affix,NA,,,_non-fricative continuant,initial C becomes prenasalised stop,n-,,,NA,FALSE,acc-like,n-,n,,n,FALSE,TRUE,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA
Fore,accusative,FALSE,affix,NA,,,_V,nk__,nk-,,,NA,FALSE,acc-like,nk-,nk,,nk,FALSE,TRUE,NA,TRUE,1,0.5,NA,NA,NA,NA,NA,NA
Fore,accusative,FALSE,affix,NA,,,_T,?__,ʔ-,,,NA,FALSE,acc-like,ʔ-,ʔ,,ʔ,FALSE,TRUE,NA,TRUE,1,1,NA,NA,NA,NA,NA,NA
Fore,accusative,FALSE,affix,NA,,,_s,zero,zero,,,NA,FALSE,acc-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fore,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fore,vocative,FALSE,affix,NA,,,,-ó,-o,,,comes with pitch accent,TRUE,vocative,-o,,o,o,TRUE,FALSE,TRUE,FALSE,0,0,o,o,m,FALSE,FALSE,FALSE
Georgian,ergative,FALSE,affix,NA,,,C_,-ma,-ma,,,NA,FALSE,acc-like,-ma,,ma,ma,TRUE,TRUE,TRUE,FALSE,0,0,a,a,l,FALSE,FALSE,TRUE
Georgian,ergative,FALSE,affix,NA,,,V_,-m,-m,,,NA,FALSE,acc-like,-m,,m,m,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,NA,NA,TRUE,FALSE
Georgian,nominative,FALSE,affix,NA,,,C_,-i,-i,,,NA,FALSE,nom-like,-i,,i,i,TRUE,FALSE,TRUE,FALSE,0,0,i,i,h,FALSE,FALSE,FALSE
Georgian,nominative,FALSE,affix,NA,,,V_,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgian,vocative,FALSE,affix,NA,,,C_,-o,-o,,,NA,FALSE,vocative,-o,,o,o,TRUE,FALSE,TRUE,FALSE,0,0,o,o,m,FALSE,FALSE,FALSE
Georgian,vocative,FALSE,affix,NA,,,V_,-v,-v,,,NA,FALSE,vocative,-v,,v,v,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,NA,NA,TRUE,FALSE
Georgian,vocative,FALSE,affix,NA,,,V_,zero,zero,,,NA,FALSE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaiian,accusative,FALSE,particle,NA,,,,i ## _,i-,,,NA,FALSE,acc-like,i-,i,,i,TRUE,FALSE,NA,FALSE,0,0,i,i,h,FALSE,FALSE,FALSE
Hawaiian,accusative,FALSE,particle,"pronouns, names of people, places",,,,ia: ## _,iaa-,,,NA,FALSE,acc-like,iaa-,iaa,,iaa,TRUE,FALSE,NA,FALSE,0,0,aa,a,l,TRUE,FALSE,FALSE
Hawaiian,nominative,FALSE,particle,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaiian,vocative,FALSE,particle,NA,,,,e: ## __,ee-,,,NA,FALSE,vocative,ee-,ee,,ee,TRUE,FALSE,NA,FALSE,0,0,ee,e,m,TRUE,FALSE,FALSE
Hindi,nominative,FALSE,affix,NA,f/m,singular,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hindi,nominative,FALSE,affix,NA,f,plural,,-e [with tilde],-ẽ,,,NA,FALSE,nom-like,-ẽ,,ẽ,ẽ,TRUE,FALSE,TRUE,FALSE,0,0,ẽ,ẽ,m,FALSE,FALSE,FALSE
Hindi,nominative,FALSE,affix,NA,m,plural,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hindi,oblique,FALSE,affix,NA,f/m,singular,,zero,zero,,,NA,FALSE,acc-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hindi,oblique,FALSE,affix,NA,f,plural,,-õ,-õ,,,NA,FALSE,acc-like,-õ,,õ,õ,TRUE,FALSE,TRUE,FALSE,0,0,õ,õ,m,FALSE,FALSE,FALSE
Hindi,oblique,FALSE,affix,NA,m,plural,,-õ,-õ,,,NA,FALSE,acc-like,-õ,,õ,õ,TRUE,FALSE,TRUE,FALSE,0,0,õ,õ,m,FALSE,FALSE,FALSE
Hindi,vocative,FALSE,affix,NA,f/m,singular,,zero,zero,,,NA,FALSE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hindi,vocative,FALSE,affix,NA,f/m,plural,,-o,-o,,,NA,FALSE,vocative,-o,,o,o,TRUE,FALSE,TRUE,FALSE,0,0,o,o,m,FALSE,FALSE,FALSE
Hualapai,accusative,FALSE,particle,NA,,,,zero,zero,,,NA,FALSE,acc-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hualapai,nominative,FALSE,particle,NA,,,,ts\,-tʃ,,,NA,FALSE,nom-like,-C,,C,C,FALSE,TRUE,FALSE,TRUE,1,1,NA,NA,NA,NA,TRUE,FALSE
Hualapai,vocative,FALSE,affix,NA,,sg,,-ɛ,-ɛ,,,primary stressed suffix,TRUE,vocative,-ɛ,,ɛ,ɛ,TRUE,FALSE,TRUE,FALSE,0,0,ɛ,ɛ,m,FALSE,FALSE,FALSE
Hualapai,vocative,FALSE,affix,NA,,pl,,-jɛ,-jɛ,,,primary stressed suffix,TRUE,vocative,-jɛ,,jɛ,jɛ,TRUE,TRUE,TRUE,FALSE,0,0,ɛ,ɛ,m,FALSE,FALSE,TRUE
Hualapai,vocative,FALSE,affix,NA,,sg,i_,zero,zero,,,NA,FALSE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hualapai,vocative,FALSE,affix,NA,,,a_,stem final -E/-a replaced by -E,,ɛ,,primary stressed suffix,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hualapai,vocative,FALSE,affix,NA,,,ɛ_,NA,zero,,,primary stressed suffix,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hup,accusative,FALSE,affix,NA,animate,,,-an,-an,,,NA,FALSE,acc-like,-an,,an,an,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Hup,accusative,FALSE,affix,NA,inanimate,,,zero,zero,,,NA,FALSE,acc-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hup,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hup,vocative,FALSE,affix,"personal name, kindship term",,,m,-w@d,-wəd,,,NA,FALSE,vocative,-wəd,,wəd,wəd,TRUE,TRUE,FALSE,FALSE,0,0,ə,ə,m,FALSE,TRUE,FALSE
Hup,vocative,FALSE,affix,"personal name, kindship term",,,f,-wa,-wa,,,NA,FALSE,vocative,-wa,,wa,wa,TRUE,TRUE,TRUE,FALSE,0,0,a,a,l,FALSE,FALSE,TRUE
Iraqw,vocative,FALSE,prosodic,person,,,,NA,zero,,,high tone on penultimate syllable,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kakua,accusative,FALSE,clitic,NA,,,,=di?,-diʔ,,,NA,FALSE,acc-like,-diʔ,,diʔ,diʔ,TRUE,TRUE,FALSE,TRUE,1,0.3333333333333333,i,i,h,FALSE,TRUE,FALSE
Kakua,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kakua,vocative,FALSE,affix,"personal name, kindship term",,,,reduplication of the stem vowel,zero,,,reduplication of the stem vowel,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kakua,vocative,FALSE,affix,"personal name, kindship term",,,,NA,-a,,,NA,TRUE,vocative,-a,,a,a,TRUE,FALSE,TRUE,FALSE,0,0,a,a,l,FALSE,FALSE,FALSE
Kannada,accusative,FALSE,affix,NA,,,,-anna,-anna,,,NA,FALSE,acc-like,-anna,,anna,anna,TRUE,TRUE,TRUE,FALSE,0,0,a,a,l,FALSE,FALSE,TRUE
Kannada,accusative,FALSE,affix,NA,,,,-annu,-annu,,,NA,FALSE,acc-like,-annu,,annu,annu,TRUE,TRUE,TRUE,FALSE,0,0,u,u,h,FALSE,FALSE,TRUE
Kannada,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kannada,vocative,FALSE,affix,rational noun,,,,-e:,-ee,,,NA,FALSE,vocative,-ee,,ee,ee,TRUE,FALSE,TRUE,FALSE,0,0,ee,e,m,TRUE,FALSE,FALSE
Kannada,vocative,FALSE,prosodic,rational noun,,,"{i,a}_",NA,zero,,,-lengthening of stem final vowel,TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karo,vocative,FALSE,prosodic,NA,,,,NA,zero,,,final stress + V lengthening (instead of penultimate stress),TRUE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmiri,absolutive,FALSE,affix,NA,declension I,sg,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmiri,absolutive,FALSE,affix,NA,declension I,pl,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmiri,absolutive,FALSE,affix,NA,declension III,sg,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmiri,absolutive,FALSE,affix,NA,declension III,pl,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmiri,ergative,FALSE,affix,NA,declension I,sg,,-an,-an,,,NA,FALSE,acc-like,-an,,an,an,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Kashmiri,ergative,FALSE,affix,NA,declension I,pl,,-av,-av,,,NA,FALSE,acc-like,-av,,av,av,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Kashmiri,ergative,FALSE,affix,NA,declension III,sg,,-i,-i,,,NA,FALSE,acc-like,-i,,i,i,TRUE,FALSE,TRUE,FALSE,0,0,i,i,h,FALSE,FALSE,FALSE
Kashmiri,ergative,FALSE,affix,NA,declension III,pl,,-av,-av,,,NA,FALSE,acc-like,-av,,av,av,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Kashmiri,vocative,FALSE,affix,NA,declension I,sg,,-a:,-aa,,,NA,FALSE,vocative,-aa,,aa,aa,TRUE,FALSE,TRUE,FALSE,0,0,aa,a,l,TRUE,FALSE,FALSE
Kashmiri,vocative,FALSE,affix,NA,declension I,pl,,-av,-av,,,NA,FALSE,vocative,-av,,av,av,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Kashmiri,vocative,FALSE,affix,NA,declension III,sg,,-i:,-ii,,,NA,FALSE,vocative,-ii,,ii,ii,TRUE,FALSE,TRUE,FALSE,0,0,ii,i,h,TRUE,FALSE,FALSE
Kashmiri,vocative,FALSE,affix,NA,declension III,pl,,-av,-av,,,NA,FALSE,vocative,-av,,av,av,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Khalkha Mongolian,accusative,FALSE,affix,NA,,,,-iig,-iig,,,NA,FALSE,acc-like,-iig,,iig,iig,TRUE,TRUE,FALSE,FALSE,0,0,ii,i,h,TRUE,TRUE,FALSE
Khalkha Mongolian,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khalkha Mongolian,vocative,FALSE,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-aa,,,"raised pitch, stronger intensity",TRUE,vocative,-aa,,aa,aa,TRUE,FALSE,TRUE,FALSE,0,0,aa,a,l,TRUE,FALSE,FALSE
Khalkha Mongolian,vocative,FALSE,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-ee,,,"raised pitch, stronger intensity",TRUE,vocative,-ee,,ee,ee,TRUE,FALSE,TRUE,FALSE,0,0,ee,e,m,TRUE,FALSE,FALSE
Khalkha Mongolian,vocative,FALSE,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-oo,,,"raised pitch, stronger intensity",TRUE,vocative,-oo,,oo,oo,TRUE,FALSE,TRUE,FALSE,0,0,oo,o,m,TRUE,FALSE,FALSE
Khalkha Mongolian,vocative,FALSE,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-ɔɔ,,,"raised pitch, stronger intensity",TRUE,vocative,-ɔɔ,,ɔɔ,ɔɔ,TRUE,FALSE,TRUE,FALSE,0,0,ɔɔ,ɔ,m,TRUE,FALSE,FALSE
Kilmeri,vocative,FALSE,affix,NA,,,,-e,-e,,,NA,FALSE,vocative,-e,,e,e,TRUE,FALSE,TRUE,FALSE,0,0,e,e,m,FALSE,FALSE,FALSE
Kisi,vocative,FALSE,affix,NA,,,,-wêi,-wêi,,,final vowel can be expressively lengthened,TRUE,vocative,-wêi,,wêi,wêi,TRUE,TRUE,TRUE,FALSE,0,0,i,i,h,FALSE,FALSE,TRUE
Koasati,accusative,FALSE,affix,NA,,,,-n,-n,,,NA,FALSE,acc-like,-n,,n,n,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,NA,NA,TRUE,FALSE
Koasati,nominative,FALSE,affix,NA,,,,-k,-k,,,NA,FALSE,nom-like,-k,,k,k,FALSE,TRUE,FALSE,TRUE,1,1,NA,NA,NA,NA,TRUE,FALSE
Koasati,vocative,FALSE,deletion,"proper nounds, kinship terms",,,V_,delete V,,,-V,NA,FALSE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koasati,vocative,FALSE,deletion,"proper nounds, kinship terms",,,ka_,delete -ka,,,-ka,NA,FALSE,vocative,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konso,accusative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,acc-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konso,nominative,FALSE,affix,"Proper names, pronouns and days of a week",,,,-ʔ,-ʔ,,,NA,FALSE,nom-like,-ʔ,,ʔ,ʔ,FALSE,TRUE,FALSE,TRUE,1,1,NA,NA,NA,NA,TRUE,FALSE
Konso,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
