bookkeeping	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	markup_description	name	newick	pk	status	genus_name	family	color	latlong_combined	duplicate
False	2	0	0		142	2377	sny	sani1270	{}	-4.4376	language	142.369		Saniyo-Hiyewe	('Hiyowe [hiyo1238]','Saniyo [sani1271]')'Saniyo-Hiyewe [sani1270][sny]-l-'	4112	unknown/safe		Sepik	#A9A9A9	-4.4376 142.369	FALSE
False	0	0	0		383	15067	mjc	sanj1281	{}	16.3964	language	-97.9279		San Juan Colorado Mixtec	'San Juan Colorado Mixtec [sanj1281][mjc]-l-'	16988	unknown/safe	Mixtecan	Otomanguean	#A9A9A9	16.3964 -97.9279	FALSE
False	1	0	0		383	12470	xtj	sanj1282	{}	17.1542	language	-97.3899		San Juan Teita Mixtec	('Santa Maria Tataltepec [sant1444]')'San Juan Teita Mixtec [sanj1282][xtj]-l-'	15076	unknown/safe		Otomanguean	#A9A9A9	17.1542 -97.3899	FALSE
False	3	0	0		383	15017	zab	sanj1284	{}	17.0332	language	-96.5967		San Juan Guelavía Zapotec	('Jalieza Zapotec [jali1244]','San Martín Tilcajete Zapotec [sanm1299]','Teotitlán del Valle Zapotec [teot1238]')'San Juan Guelavía Zapotec [sanj1284][zab]-l-'	16928	unknown/safe		Otomanguean	#A9A9A9	17.0332 -96.5967	FALSE
False	0	0	0		383	9666	poe	sanj1285	{}	18.22245	language	-97.37923		San Juan Atzingo Popoloca	'San Juan Atzingo Popoloca [sanj1285][poe]-l-'	12449	vulnerable	Popolocan	Otomanguean	#CBCB65	18.22245 -97.37923	FALSE
False	7	0	0		383	9668	maa	sanj1286	{}	18.1999	language	-96.8833		San Jerónimo Tecóatl Mazatec	('San Antonio Eloxochitlán Mazatec [sana1287]','San Francisco Huehuetlán Mazatec [sanf1265]','San Lorenzo Cuanecuiltitla Mazatec [sanl1250]','San Lucas Zoquiapan Mazatec [sanl1249]','San San Jerónimo Mazatec [sans1275]','Santa Ana Ateixtlahuaca Mazatec [sant1456]','Santa Cruz Ocopetatillo Mazatec [sant1455]')'San Jerónimo Tecóatl Mazatec [sanj1286][maa]-l-'	12454	vulnerable		Otomanguean	#CBCB65	18.1999 -96.8833	FALSE
False	0	0	0		122	18425	msc	sank1253	{}	10.0962	language	-10.569		Sankaran Maninka	'Sankaran Maninka [sank1253][msc]-l-'	19962	unknown/safe		Mande	#A9A9A9	10.0962 -10.569	FALSE
False	0	0	0		383	9666	pps	sanl1248	{}	18.6812	language	-97.5459		San Luís Temalacayuca Popoloca	'San Luís Temalacayuca Popoloca [sanl1248][pps]-l-'	12452	unknown/safe		Otomanguean	#A9A9A9	18.6812 -97.5459	FALSE
False	0	0	0		414	1825	huv	sanm1287	{}	16.2129	language	-95.0077		San Mateo del Mar Huave	'San Mateo del Mar Huave [sanm1287][huv]-l-'	3381	vulnerable	Huavean	Huavean	#CBCB65	16.2129 -95.0077	FALSE
False	0	0	0		214	2676	qvs	sanm1289	{}	-6.9582	language	-76.6608		San Martín Quechua	'San Martín Quechua [sanm1289][qvs]-l-'	4450	unknown/safe		Quechuan	#A9A9A9	-6.9582 -76.6608	FALSE
